session_id,date_time,source_ip,source_port,destination_ip,destination_port,bytes,packages_count
1.3273524389177788e+16,2022-04-20 15:07:18.098,10.110.131.186,60062,10.253.192.39,10123,2192,9
1.3273524389177788e+16,2022-04-20 15:07:47.140,10.110.131.186,60073,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:08:59.272,10.110.131.186,60104,10.253.192.39,10123,1871,6
1.3273524389177788e+16,2022-04-20 15:09:33.394,10.110.131.186,60104,10.253.192.39,10123,40,2
1.3273524389177788e+16,2022-04-20 15:10:19.486,10.110.131.186,60191,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:11:00.820,10.110.131.186,60213,10.253.192.39,10123,1871,6
1.3273524389177788e+16,2022-04-20 15:11:28.901,10.110.131.186,60213,10.253.192.39,10123,40,2
1.3273524389177788e+16,2022-04-20 15:11:29.915,10.110.131.186,60229,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:12:17.045,10.110.131.186,60241,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:12:28.177,10.110.131.186,60249,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:13:57.266,10.110.131.186,60284,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:14:17.436,10.110.131.186,60288,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:15:04.464,10.110.131.186,60312,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:15:33.569,10.110.131.186,60385,10.253.192.39,10123,1871,6
1.3273524389177788e+16,2022-04-20 15:15:59.654,10.110.131.186,60385,10.253.192.39,10123,40,2
1.3273524389177788e+16,2022-04-20 15:16:45.673,10.110.131.186,60413,10.253.192.39,10123,1943,9
1.3273524389177788e+16,2022-04-20 15:17:53.010,10.110.131.186,60435,10.253.192.39,10123,2192,9
1.3273524389177788e+16,2022-04-20 15:18:17.984,10.110.131.186,60445,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:19:08.130,10.110.131.186,60469,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:20:28.818,10.110.131.186,60560,10.253.192.39,10123,1871,6
1.3273524389177788e+16,2022-04-20 15:21:00.961,10.110.131.186,60560,10.253.192.39,10123,40,2
1.3273524389177788e+16,2022-04-20 15:21:09.979,10.110.131.186,60579,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:22:01.062,10.110.131.186,60596,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:22:55.196,10.110.131.186,60618,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:23:49.387,10.110.131.186,60636,10.253.192.39,10123,1931,9
